,Comment
75,"april gains making me fat again 🤑
diet starts in june.
until then [stockName] going to 440"
76,🕯 prayer circle for our [stockName] calls 🕯
77,my prediction [stockName] hits $419.90 on 4/20 and then drill team 6 goes to work.
78,blowoff top on [stockName] or dump to $410?
79,/u/luv2fukmarriedmilfs you got some of that alfa energy to prevent all the fomoers of $[stockName] that go shares above $26-$35 from $rope?
80,"maybe [stockName], buying nuance is no joke"
81,"i’m bullish on tesla. looking to sell 1 [stockName] may 21
600 put and collect 1700 for the month. what a roller coaster ride this has been. i’m willing to buy tesla for $600"
82,595/600 [stockName] may 14 put spreads and 105/108 arkk spreads
83,[stockName]? anyone? [stockName] calls?
84,"futures are reversing. we're entering unknown territory; we're in the multiverse.

the futures traders will be remembered dishonorably.

dow 40k, [stockName] 420 by end of week"
85,everyone amped up for some [stockName] action this week?
86,puts on “a million [stockName] robotaxis” being a thing
87,what are your guys’ opinion on my [stockName] and apha stocks? hold or sell in the coming days?
88,hows [stockName] looking to open tomorrow??
89,"thx [stockName], back to rice and beans for a month"
90,[stockName] earnings coming up boyos. load up
91,$[stockName] to the moon
